 INFO[2008-01-21 13:03:17,182] org.hibernate.cfg.Environment - Hibernate 3.2.0
  INFO[2008-01-21 13:03:17,194] org.hibernate.cfg.Environment - loaded properties from resource hibernate.properties: {hibernate.connection.username=mysqladmin, hibernate.connection.password=****, hibernate.dialect=org.hibernate.dialect.MySQL5InnoDBDialect, hibernate.connection.url=jdbc:mysql://torakiki:3306/OT_GESTIONALE, hibernate.bytecode.use_reflection_optimizer=false, hibernate.connection.driver_class=com.mysql.jdbc.Driver}
  INFO[2008-01-21 13:03:17,195] org.hibernate.cfg.Environment - Bytecode provider name : cglib
  INFO[2008-01-21 13:03:17,204] org.hibernate.cfg.Environment - using JDK 1.4 java.sql.Timestamp handling
  INFO[2008-01-21 13:03:17,462] org.hibernate.cfg.reveng.OverrideRepository - Override file: /home/aleruz/workspace_tmp/Protocollo/hibernatetools/revenge.xml
  INFO[2008-01-21 13:03:18,410] org.hibernate.connection.DriverManagerConnectionProvider - Using Hibernate built-in connection pool (not for production use!)
  INFO[2008-01-21 13:03:18,410] org.hibernate.connection.DriverManagerConnectionProvider - Hibernate connection pool size: 20
  INFO[2008-01-21 13:03:18,410] org.hibernate.connection.DriverManagerConnectionProvider - autocommit mode: false
  INFO[2008-01-21 13:03:18,434] org.hibernate.connection.DriverManagerConnectionProvider - using driver: oracle.jdbc.driver.OracleDriver at URL: jdbc:oracle:thin:@192.168.2.154:1521:ORACLE
  INFO[2008-01-21 13:03:18,434] org.hibernate.connection.DriverManagerConnectionProvider - connection properties: {user=GESTIONE_PROTOCOLLO_TEST, password=****}
  INFO[2008-01-21 13:03:19,287] org.hibernate.cfg.SettingsFactory - RDBMS: Oracle, version: Oracle Database 10g Enterprise Edition Release 10.2.0.1.0 - Production
With the Partitioning, OLAP and Data Mining options
  INFO[2008-01-21 13:03:19,288] org.hibernate.cfg.SettingsFactory - JDBC driver: Oracle JDBC driver, version: 10.1.0.2.0
  INFO[2008-01-21 13:03:19,396] org.hibernate.dialect.Dialect - Using dialect: org.hibernate.dialect.Oracle9Dialect
  INFO[2008-01-21 13:03:19,515] org.hibernate.transaction.TransactionFactoryFactory - Using default transaction strategy (direct JDBC transactions)
  INFO[2008-01-21 13:03:19,524] org.hibernate.transaction.TransactionManagerLookupFactory - No TransactionManagerLookup configured (in JTA environment, use of read-write or transactional second-level cache is not recommended)
  INFO[2008-01-21 13:03:19,524] org.hibernate.cfg.SettingsFactory - Automatic flush during beforeCompletion(): disabled
  INFO[2008-01-21 13:03:19,525] org.hibernate.cfg.SettingsFactory - Automatic session close at end of transaction: disabled
  INFO[2008-01-21 13:03:19,525] org.hibernate.cfg.SettingsFactory - JDBC batch size: 15
  INFO[2008-01-21 13:03:19,527] org.hibernate.cfg.SettingsFactory - JDBC batch updates for versioned data: disabled
  INFO[2008-01-21 13:03:19,529] org.hibernate.cfg.SettingsFactory - Scrollable result sets: enabled
  INFO[2008-01-21 13:03:19,530] org.hibernate.cfg.SettingsFactory - JDBC3 getGeneratedKeys(): disabled
  INFO[2008-01-21 13:03:19,530] org.hibernate.cfg.SettingsFactory - Connection release mode: auto
  INFO[2008-01-21 13:03:19,533] org.hibernate.cfg.SettingsFactory - Default batch fetch size: 1
  INFO[2008-01-21 13:03:19,533] org.hibernate.cfg.SettingsFactory - Generate SQL with comments: disabled
  INFO[2008-01-21 13:03:19,534] org.hibernate.cfg.SettingsFactory - Order SQL updates by primary key: disabled
  INFO[2008-01-21 13:03:19,534] org.hibernate.cfg.SettingsFactory - Query translator: org.hibernate.hql.ast.ASTQueryTranslatorFactory
  INFO[2008-01-21 13:03:19,544] org.hibernate.hql.ast.ASTQueryTranslatorFactory - Using ASTQueryTranslatorFactory
  INFO[2008-01-21 13:03:19,544] org.hibernate.cfg.SettingsFactory - Query language substitutions: {}
  INFO[2008-01-21 13:03:19,544] org.hibernate.cfg.SettingsFactory - JPA-QL strict compliance: disabled
  INFO[2008-01-21 13:03:19,544] org.hibernate.cfg.SettingsFactory - Second-level cache: enabled
  INFO[2008-01-21 13:03:19,545] org.hibernate.cfg.SettingsFactory - Query cache: disabled
  INFO[2008-01-21 13:03:19,545] org.hibernate.cfg.SettingsFactory - Cache provider: org.hibernate.cache.NoCacheProvider
  INFO[2008-01-21 13:03:19,545] org.hibernate.cfg.SettingsFactory - Optimize cache for minimal puts: disabled
  INFO[2008-01-21 13:03:19,545] org.hibernate.cfg.SettingsFactory - Structured second-level cache entries: disabled
  INFO[2008-01-21 13:03:19,561] org.hibernate.cfg.SettingsFactory - Statistics: disabled
  INFO[2008-01-21 13:03:19,562] org.hibernate.cfg.SettingsFactory - Deleted entity synthetic identifier rollback: disabled
  INFO[2008-01-21 13:03:19,564] org.hibernate.cfg.SettingsFactory - Default entity-mode: pojo
 DEBUG[2008-01-21 13:03:19,597] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getTables(null.GESTIONE_PROTOCOLLO_TEST.null)
 DEBUG[2008-01-21 13:03:20,337] org.hibernate.cfg.reveng.JDBCReader - Adding table ARCHIVIO of type TABLE
 DEBUG[2008-01-21 13:03:20,344] org.hibernate.cfg.reveng.JDBCReader - Adding table CATEGORIA of type TABLE
 DEBUG[2008-01-21 13:03:20,344] org.hibernate.cfg.reveng.JDBCReader - Adding table DOCUMENTO of type TABLE
 DEBUG[2008-01-21 13:03:20,344] org.hibernate.cfg.reveng.JDBCReader - Adding table LEGAME of type TABLE
 DEBUG[2008-01-21 13:03:20,345] org.hibernate.cfg.reveng.JDBCReader - Adding table LEGAME_PROTOCOLLO of type TABLE
 DEBUG[2008-01-21 13:03:20,345] org.hibernate.cfg.reveng.JDBCReader - Adding table LEGAME_PROTOCOLLO_HIS of type TABLE
 DEBUG[2008-01-21 13:03:20,345] org.hibernate.cfg.reveng.JDBCReader - Adding table MITTENTE of type TABLE
