2016-07-10 14:37:47,410 | DEBUG | 1}{0.0.0.0:8181} | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Queued change org.eclipse.jetty.io.SelectorManager$ManagedSelector$Accept@1a0d8522
2016-07-10 14:37:47,412 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Selector loop woken up from select, 0/0 selected
2016-07-10 14:37:47,413 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Running change org.eclipse.jetty.io.SelectorManager$ManagedSelector$Accept@1a0d8522
2016-07-10 14:37:47,754 | DEBUG | nager@51ec9728/0 | AbstractEndPoint                 | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | onOpen SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,7/30000,null}{io=0,kio=0,kro=0}
2016-07-10 14:37:47,754 | DEBUG | nager@51ec9728/0 | IdleTimeout                      | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,7/30000,null}{io=0,kio=0,kro=0} idle timeout check, elapsed: 7 ms, remaining: 29993 ms
2016-07-10 14:37:47,795 | DEBUG | nager@51ec9728/0 | HttpChannel                      | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | new HttpChannelOverHttp@e675a4{r=0,c=false,a=IDLE,uri=} -> SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,47/30000,null}{io=0,kio=0,kro=0},null,HttpChannelState@6b3b883b{s=IDLE i=true a=null}
2016-07-10 14:37:47,803 | DEBUG | nager@51ec9728/0 | HttpConnection                   | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | New HTTP Connection HttpConnection@7249d1ef[IDLE,SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,56/30000,null}{io=0,kio=0,kro=0}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@e675a4{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:37:47,804 | DEBUG | nager@51ec9728/0 | AbstractConnection               | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | onOpen HttpConnection@7249d1ef[IDLE,SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,57/30000,HttpConnection}{io=0,kio=0,kro=0}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@e675a4{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:37:47,805 | DEBUG | nager@51ec9728/0 | AbstractConnection               | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | fillInterested HttpConnection@7249d1ef[IDLE,SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,57/30000,HttpConnection}{io=0,kio=0,kro=0}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@e675a4{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:37:47,805 | DEBUG | nager@51ec9728/0 | AbstractConnection               | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | IDLE-->FILL_INTERESTED HttpConnection@7249d1ef[FILL_INTERESTED,SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,58/30000,HttpConnection}{io=0,kio=0,kro=0}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@e675a4{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:37:47,805 | DEBUG | nager@51ec9728/0 | SelectChannelEndPoint            | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Local interests updating 0 -> 1 for SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,R,-,0/30000,HttpConnection}{io=1,kio=0,kro=0}
2016-07-10 14:37:47,806 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Queued change org.eclipse.jetty.io.SelectChannelEndPoint$1@2f2f04da
2016-07-10 14:37:47,806 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Created SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,R,-,1/30000,HttpConnection}{io=1,kio=0,kro=0}
2016-07-10 14:37:47,806 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Running change org.eclipse.jetty.io.SelectChannelEndPoint$1@2f2f04da
2016-07-10 14:37:47,807 | DEBUG | nager@51ec9728/0 | SelectChannelEndPoint            | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Key interests updated 0 -> 1 on SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,R,-,2/30000,HttpConnection}{io=1,kio=1,kro=0}
2016-07-10 14:37:47,807 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Selector loop waiting on select
2016-07-10 14:37:47,807 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Selector loop woken up from select, 1/1 selected
2016-07-10 14:37:47,808 | DEBUG | nager@51ec9728/0 | SelectChannelEndPoint            | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Key interests updated 1 -> 0 on SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,R,-,3/30000,HttpConnection}{io=1,kio=0,kro=1}
2016-07-10 14:37:47,808 | DEBUG | nager@51ec9728/0 | SelectChannelEndPoint            | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Local interests updating 1 -> 0 for SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,R,-,3/30000,HttpConnection}{io=0,kio=0,kro=1}
2016-07-10 14:37:47,808 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Queued change org.eclipse.jetty.io.SelectChannelEndPoint$1@2f2f04da
