2016-07-10 14:00:51,379 | DEBUG | 1}{0.0.0.0:8181} | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Queued change org.eclipse.jetty.io.SelectorManager$ManagedSelector$Accept@312e9957
2016-07-10 14:00:51,382 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Selector loop woken up from select, 0/0 selected
2016-07-10 14:00:51,382 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Running change org.eclipse.jetty.io.SelectorManager$ManagedSelector$Accept@312e9957
2016-07-10 14:00:51,716 | DEBUG | nager@52fa0aff/0 | AbstractEndPoint                 | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | onOpen SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,7/30000,null}{io=0,kio=0,kro=0}
2016-07-10 14:00:51,716 | DEBUG | nager@52fa0aff/0 | IdleTimeout                      | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,8/30000,null}{io=0,kio=0,kro=0} idle timeout check, elapsed: 8 ms, remaining: 29992 ms
2016-07-10 14:00:51,755 | DEBUG | nager@52fa0aff/0 | HttpChannel                      | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | new HttpChannelOverHttp@4f7f8a49{r=0,c=false,a=IDLE,uri=} -> SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,46/30000,null}{io=0,kio=0,kro=0},null,HttpChannelState@6e4be4ad{s=IDLE i=true a=null}
2016-07-10 14:00:51,767 | DEBUG | nager@52fa0aff/0 | HttpConnection                   | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | New HTTP Connection HttpConnection@5e13cdf5[IDLE,SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,59/30000,null}{io=0,kio=0,kro=0}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@4f7f8a49{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:00:51,769 | DEBUG | nager@52fa0aff/0 | AbstractConnection               | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | onOpen HttpConnection@5e13cdf5[IDLE,SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,60/30000,HttpConnection}{io=0,kio=0,kro=0}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@4f7f8a49{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:00:51,769 | DEBUG | nager@52fa0aff/0 | AbstractConnection               | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | fillInterested HttpConnection@5e13cdf5[IDLE,SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,61/30000,HttpConnection}{io=0,kio=0,kro=0}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@4f7f8a49{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:00:51,770 | DEBUG | nager@52fa0aff/0 | AbstractConnection               | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | IDLE-->FILL_INTERESTED HttpConnection@5e13cdf5[FILL_INTERESTED,SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,61/30000,HttpConnection}{io=0,kio=0,kro=0}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@4f7f8a49{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:00:51,770 | DEBUG | nager@52fa0aff/0 | SelectChannelEndPoint            | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Local interests updating 0 -> 1 for SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,R,-,0/30000,HttpConnection}{io=1,kio=0,kro=0}
2016-07-10 14:00:51,771 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Queued change org.eclipse.jetty.io.SelectChannelEndPoint$1@6e543166
2016-07-10 14:00:51,771 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Created SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,R,-,1/30000,HttpConnection}{io=1,kio=0,kro=0}
2016-07-10 14:00:51,771 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Running change org.eclipse.jetty.io.SelectChannelEndPoint$1@6e543166
2016-07-10 14:00:51,771 | DEBUG | nager@52fa0aff/0 | SelectChannelEndPoint            | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Key interests updated 0 -> 1 on SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,R,-,1/30000,HttpConnection}{io=1,kio=1,kro=0}
2016-07-10 14:00:51,772 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Selector loop waiting on select
2016-07-10 14:00:51,772 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Selector loop woken up from select, 1/1 selected
2016-07-10 14:00:51,772 | DEBUG | nager@52fa0aff/0 | SelectChannelEndPoint            | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Key interests updated 1 -> 0 on SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,R,-,2/30000,HttpConnection}{io=1,kio=0,kro=1}
2016-07-10 14:00:51,773 | DEBUG | nager@52fa0aff/0 | SelectChannelEndPoint            | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Local interests updating 1 -> 0 for SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,R,-,2/30000,HttpConnection}{io=0,kio=0,kro=1}
2016-07-10 14:00:51,773 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Queued change org.eclipse.jetty.io.SelectChannelEndPoint$1@6e543166
2016-07-10 14:00:51,773 | DEBUG | nager@52fa0aff/0 | AbstractConnection               | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | FILL_INTERESTED-->FILLING HttpConnection@5e13cdf5[FILLING,SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,3/30000,HttpConnection}{io=0,kio=0,kro=1}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@4f7f8a49{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:00:51,773 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Running change org.eclipse.jetty.io.SelectChannelEndPoint$1@6e543166
2016-07-10 14:00:51,773 | DEBUG | nager@52fa0aff/0 | SelectorManager                  | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | Selector loop waiting on select
2016-07-10 14:00:51,774 | DEBUG | tp1988068983-240 | HttpConnection                   | 102 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpConnection@5e13cdf5[FILLING,SelectChannelEndPoint@31ecdf9c{/0:0:0:0:0:0:0:1:55010<->8181,Open,in,out,-,-,4/30000,HttpConnection}{io=0,kio=0,kro=1}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@4f7f8a49{r=0,c=false,a=IDLE,uri=}] onFillable HttpChannelState@6e4be4ad{s=IDLE i=true a=null}
