org.hibernate.hql.internal.ast.tree.FromElement  - FromClause{level=1} : be.cipal.poseidon.persistence.pojo.OpdrachtPlan (o) -> opdrachtpl0_
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o -> PKSDOPDRREF
org.hibernate.hql.internal.ast.tree.DotNode  - getDataType() : plan -> org.hibernate.type.ManyToOneType(be.cipal.poseidon.persistence.pojo.Plan)
org.hibernate.hql.internal.ast.tree.DotNode  - dereferenceShortcut() : property objectId in be.cipal.poseidon.persistence.pojo.OpdrachtPlan does not require a join.
org.hibernate.hql.internal.ast.tree.DotNode  - Unresolved property path is now 'plan.objectId'
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o.plan -> FKSDOPDR_OPDRREF_MASTER
org.hibernate.hql.internal.ast.tree.DotNode  - getDataType() : plan.objectId -> org.hibernate.type.LongType@31eed3bc
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o.plan.objectId -> FKSDOPDR_OPDRREF_MASTER
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o -> PKSDOPDRREF
org.hibernate.hql.internal.ast.tree.DotNode  - getDataType() : plan -> org.hibernate.type.ManyToOneType(be.cipal.poseidon.persistence.pojo.Plan)
org.hibernate.hql.internal.ast.tree.DotNode  - dereferenceShortcut() : property objectId in be.cipal.poseidon.persistence.pojo.OpdrachtPlan does not require a join.
org.hibernate.hql.internal.ast.tree.DotNode  - Unresolved property path is now 'plan.objectId'
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o.plan -> FKSDOPDR_OPDRREF_MASTER
org.hibernate.hql.internal.ast.tree.DotNode  - getDataType() : plan.objectId -> org.hibernate.type.LongType@31eed3bc
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o.plan.objectId -> FKSDOPDR_OPDRREF_MASTER
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o -> PKSDOPDRREF
org.hibernate.hql.internal.ast.tree.DotNode  - getDataType() : isProCalc -> org.hibernate.type.BooleanType@3107833
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o.isProCalc -> SDOPDRPROCALC
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o -> PKSDOPDRREF
org.hibernate.hql.internal.ast.tree.DotNode  - getDataType() : maand -> org.hibernate.type.TimestampType@2b4a0be0
org.hibernate.hql.internal.ast.tree.FromReferenceNode  - Resolved : o.maand -> SDOPDRMND
