Thu Jul 30 13:43:41 CEST 2020	Log file initialized. RC Type is 3 - Logging to: server.log - Next check is : 1596146400000
13:43:41,779 INFO  [org.jboss.modules] (main) JBoss Modules version 1.8.9.Final-redhat-00001
13:43:42,241 INFO  [org.jboss.msc] (main) JBoss MSC version 1.4.11.Final-redhat-00001
13:43:42,266 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.3.Final-redhat-00001
13:43:42,417 INFO  [org.jboss.as] (MSC service thread 1-2) WFLYSRV0049: JBoss EAP 7.2.8.GA (WildFly Core 6.0.27.Final-redhat-00001) démarre
13:43:43,329 INFO  [org.wildfly.security] (ServerService Thread Pool -- 30) ELY00001: WildFly Elytron version 1.6.6.Final-redhat-00001
13:43:44,806 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: L'attribut 'security-realm' dans les ressources à l'adresse '/core-service=management/management-interface=native-interface' est désapprouvé et peut être supprimé dans la prochaine version. Pour en savoir plus sur son obsolescence, consulter la description de l'attribut dans la sortie de l'opération read-resource-description.
13:43:44,806 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: L'attribut 'security-realm' dans les ressources à l'adresse '/core-service=management/management-interface=http-interface' est désapprouvé et peut être supprimé dans la prochaine version. Pour en savoir plus sur son obsolescence, consulter la description de l'attribut dans la sortie de l'opération read-resource-description.
13:43:44,837 INFO  [org.jboss.as.controller.management-deprecated] (ServerService Thread Pool -- 9) WFLYCTL0028: L'attribut 'default-stack' dans les ressources à l'adresse '/subsystem=jgroups' est désapprouvé et peut être supprimé dans la prochaine version. Pour en savoir plus sur son obsolescence, consulter la description de l'attribut dans la sortie de l'opération read-resource-description.
13:43:44,853 INFO  [org.jboss.as.controller.management-deprecated] (ServerService Thread Pool -- 14) WFLYCTL0028: L'attribut 'enabled' dans les ressources à l'adresse '/subsystem=undertow/server=default-server/ajp-listener=ajp' est désapprouvé et peut être supprimé dans la prochaine version. Pour en savoir plus sur son obsolescence, consulter la description de l'attribut dans la sortie de l'opération read-resource-description.
13:43:44,869 INFO  [org.jboss.as.controller.management-deprecated] (ServerService Thread Pool -- 14) WFLYCTL0028: L'attribut 'security-realm' dans les ressources à l'adresse '/subsystem=undertow/server=default-server/https-listener=https' est désapprouvé et peut être supprimé dans la prochaine version. Pour en savoir plus sur son obsolescence, consulter la description de l'attribut dans la sortie de l'opération read-resource-description.
13:43:44,869 INFO  [org.jboss.as.controller.management-deprecated] (ServerService Thread Pool -- 9) WFLYCTL0028: L'attribut 'socket-binding' dans les ressources à l'adresse '/subsystem=jgroups/stack=udp/protocol=FD_SOCK' est désapprouvé et peut être supprimé dans la prochaine version. Pour en savoir plus sur son obsolescence, consulter la description de l'attribut dans la sortie de l'opération read-resource-description.
13:43:44,869 WARN  [org.wildfly.iiop.openjdk] (ServerService Thread Pool -- 29) WFLYIIOP0111: SSL n'a pas été configuré mais la propriété ssl-port a été spécifiée. La connexion utilisera le protocole clear-text
13:43:44,869 WARN  [org.jboss.as.server.deployment.scanner] (ServerService Thread Pool -- 11) WFLYDS0006: Le comportement de déploiement fiable n'est pas possible lorsque l'auto-déploiement de contenu explosé est activé (c'est-à-dire le déploiement sans utilisation des fichiers marqueurs ".dodeploy"). La configuration d'auto-déploiement de contenu explosé n'est pas recommandée dans toutes les situations quand on espère une certaine fiabilité. Configurer le paramètre auto-deploy-exploded de l'analyseur déploiement à false conseillé.
13:43:44,884 INFO  [org.jboss.as.controller.management-deprecated] (ServerService Thread Pool -- 9) WFLYCTL0028: L'attribut 'socket-binding' dans les ressources à l'adresse '/subsystem=jgroups/stack=tcp/protocol=FD_SOCK' est désapprouvé et peut être supprimé dans la prochaine version. Pour en savoir plus sur son obsolescence, consulter la description de l'attribut dans la sortie de l'opération read-resource-description.
13:43:44,931 WARN  [org.wildfly.extension.messaging-activemq] (ServerService Thread Pool -- 17) WFLYMSGAMQ0071: Il n'y a aucune ressource qui corresponde à l'adresse d'expiration expiry-address jms.queue.ExpiryQueue pour address-settings #, donc les messages expirés en provenance de destinations correspondant à cet address-setting seront perdus !
13:43:44,931 WARN  [org.wildfly.extension.messaging-activemq] (ServerService Thread Pool -- 17) WFLYMSGAMQ0072: Il n'y a aucune ressource qui corresponde à dead-letter-address jms.queue.DLQ pour address-settings #, donc les messages non délivrés en provenance de destinations correspondant à cet address-setting seront perdus !
13:43:50,335 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0039: Création d'un service de gestion http à l'aide de socket-binding (management-http)
13:43:50,350 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.7.6.SP2-redhat-00001
13:43:50,366 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.7.6.SP2-redhat-00001
13:43:50,413 INFO  [org.wildfly.iiop.openjdk] (ServerService Thread Pool -- 51) WFLYIIOP0001: Activation du sous-système IIOP
13:43:50,413 WARN  [org.jboss.as.txn] (ServerService Thread Pool -- 74) WFLYTX0013: L'attribut node-identifier sur /subsystem=transactions est défini sur la valeur par défaut, ce qui constitue un risque pour les environnements qui exécutent plusieurs serveurs. Veillez à ce que cet attribut soit bien unique.
13:43:50,428 INFO  [org.jboss.as.security] (ServerService Thread Pool -- 71) WFLYSEC0002: Activation du sous-système de sécurité
13:43:50,428 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 52) WFLYCLINF0001: Activation du sous-système Infinispan
13:43:50,444 INFO  [org.jboss.as.security] (MSC service thread 1-2) WFLYSEC0001: Version PicketBox actuelle=5.0.3.Final-redhat-00006
13:43:50,460 INFO  [org.jboss.as.webservices] (ServerService Thread Pool -- 76) WFLYWS0002: Activation de l'extension WebServices
13:43:50,460 INFO  [org.jboss.as.clustering.jgroups] (ServerService Thread Pool -- 57) WFLYCLJG0001: Activation du sous-système JGroups. Version de JGroups 4.0.20
13:43:50,475 INFO  [org.jboss.as.naming] (ServerService Thread Pool -- 65) WFLYNAM0001: Démarrage du sous-système de nommage
13:43:50,506 INFO  [org.jboss.as.jaxrs] (ServerService Thread Pool -- 54) WFLYRS0016: RESTEasy version 3.6.1.SP8-redhat-00001
13:43:50,546 INFO  [org.jboss.as.jsf] (ServerService Thread Pool -- 60) WFLYJSF0007: A activé les implémentations JSF suivantes : [main]
13:43:50,588 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0003: Démarrage 2.0.30.SP2-redhat-00001 d'Undertow 
13:43:50,592 INFO  [org.jboss.as.mail.extension] (MSC service thread 1-2) WFLYMAIL0002: Session mail non liée [java:jboss/mail/Default]
13:43:50,592 INFO  [org.jboss.as.connector] (MSC service thread 1-2) WFLYJCA0009: Démarrage du sous-système JCA (WildFly/IronJacamar 1.4.20.Final-redhat-00001)
13:43:50,623 INFO  [org.jboss.as.naming] (MSC service thread 1-2) WFLYNAM0003: Démarrage du service de nommage
13:43:50,639 INFO  [org.jboss.as.mail.extension] (MSC service thread 1-2) WFLYMAIL0001: Session mail liée [java:jboss/mail/Default]
13:43:50,906 WARN  [org.apache.activemq.artemis.core.server] (ServerService Thread Pool -- 63) AMQ222269: Please use a fixed value for "journal-pool-files". Default changed per https://issues.apache.org/jira/browse/ARTEMIS-1628
13:43:50,952 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 44) WFLYJCA0004: Déploiement du pilote compatible JDBC class oracle.jdbc.OracleDriver (version 19.3)
13:43:50,952 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 75) WFLYUT0014: Création de gestionnaire de fichier pour le chemin 'C:\Java\EAP_7.2.GA/welcome-content' avec les options [directory-listing: 'false', follow-symlink: 'false', case-sensitive: 'true', safe-symlink-paths: '[]']
13:43:50,952 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-4) WFLYJCA0018: Démarrage du service de pilote avec le nom de pilote  = Oracle12g
13:43:50,984 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 44) WFLYJCA0005: Déploiement du pilote non compatible JDBC class com.mysql.jdbc.Driver (version 5.1)
13:43:50,984 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-3) WFLYJCA0018: Démarrage du service de pilote avec le nom de pilote  = mySQL
