SIMILAR|ROWNUM|  %|GETS_PER_ROW|SQL_TEXT                                                                                                         |    COST|HASH_VALUE|
-------|------|---|------------|-----------------------------------------------------------------------------------------------------------------|--------|----------|
       |     1|3.3|  8.68049781|select MF.name from MF where exists (select /*+ ordered */ 1 from GRP_USER, ASSIGNMENT, ROLE_MF where GRP_USER.US|       2|3560375199|
A      |     2|2.5|     7514336|select basicinxdt0_.INX_DB_ID as INX1_42_, basicinxdt0_.VERSION_NUM as VERSION2_42_, basicinxdt0_.UPDATING_DATE a|      31| 199591212|
A      |     3|2.4|     7320043|select basicinxdt0_.INX_DB_ID as INX1_74_, basicinxdt0_.VERSION_NUM as VERSION2_74_, basicinxdt0_.UPDATING_DATE a|      31|2955008392|
A      |     4|2.4|     7106334|select basicinxdt0_.INX_DB_ID as INX1_39_, basicinxdt0_.VERSION_NUM as VERSION2_39_, basicinxdt0_.UPDATING_DATE a|      31| 108250578|
       |     5|2.2|  115487.448|/* databroker_BP_BS -> getClientFnlInvSearchCount */ select count(fnlinv1.FNL_INVSTR_DB_ID) AS Value    from FNL_|        |3997249887|
       |     6|2.2|  154.075077|/* databroker_report_BS -> CLInxReportsService */ SELECT    INX.INX_DB_ID                      AS InxDbId,   (SEL|  796254| 364105427|
       |     7|1.6|    991186.8|BEGIN pkg_reco_abs_acetp_log.p_clf_from_acetp; END;                                                              |       0|1504950913|
A      |     8|1.4|     4144526|select basicinxdt0_.INX_DB_ID as INX1_35_, basicinxdt0_.VERSION_NUM as VERSION2_35_, basicinxdt0_.UPDATING_DATE a|      31|3377989329|
A      |     9|1.3|     3993364|select basicinxdt0_.INX_DB_ID as INX1_82_, basicinxdt0_.VERSION_NUM as VERSION2_82_, basicinxdt0_.UPDATING_DATE a|      31|1169448306|
A      |    10|1.3|     3983730|select basicinxdt0_.INX_DB_ID as INX1_0_, basicinxdt0_.VERSION_NUM as VERSION2_0_, basicinxdt0_.UPDATING_DATE as |      31| 384370299|
       |    11|1.3|  409.450934|/* databroker_ng_pollingengine -> LockAllPublishersRows */ UPDATE /*+ first_rows ordered use_nl(E) */ /* EAI: Loc|       6|4191133102|
       |    12|1.3|    791617.4|BEGIN pkg_reco_abs_acetp_log.p_clf_from_abs; END;                                                                |       0|4274175700|
